date,ticker,log_ret,mom_20d_cs,vol_20d,fwd_1d_excess_ret
2015-10-29,AAPL,0.010510551543803537,-0.6113107215053356,0.2630000419563733,-0.0074082075443514805
2015-10-29,AMD,-0.023202897079664053,0.9791834110742598,0.4000634160115668,-0.00353057767843748
2015-10-29,AMZN,0.01519749428427275,0.723184952585881,0.29407475837522795,0.00013734767833670225
2015-10-29,GOOG,0.005554349308557249,0.3422723428651529,0.3087794854143445,-0.007385935976374075
2015-10-29,META,0.00650438532032549,0.0912482692602433,0.18309993119418733,-0.026963165561040864
2015-10-29,MSFT,-0.011553694617286503,0.63526979094371,0.372038114088924,-0.012408335239546237
2015-10-29,NFLX,-0.0064479646878981,-2.14833089121472,0.5140421203659046,0.03171632876064198
2015-10-29,NVDA,-0.035198960506732935,-0.011517154009192352,0.2607578720506402,0.02584254556077145
2015-10-30,AAPL,-0.00858352090332648,-0.7632856251394629,0.26698469351245646,0.0022328226177183164
2015-10-30,AMD,-0.00470589103741248,0.710289337187284,0.37334425953049344,0.02075903328833753
2015-10-30,AMZN,-0.0010379656806382975,1.0243719149405803,0.29190604695678857,-0.007819699725652857
2015-10-30,GOOG,-0.008561249335349075,0.2423886812364289,0.30701746112194,0.0026601301753995943
2015-10-30,META,-0.028138478920015864,-0.2683800969799436,0.22043325862585664,0.0013292055901731603
2015-10-30,MSFT,-0.013583648598521236,0.6477940119738784,0.37726044494410926,-0.00039322041657582907
2015-10-30,NFLX,0.030541015401666982,-2.030286934244551,0.5256781552586821,-0.018577666135413423
2015-10-30,NVDA,0.024667232201796452,0.437108711025787,0.2597748203648942,-0.00019060539398649268
2015-11-02,AAPL,0.013959244473868981,-0.27520005542298753,0.26931745611254615,0.0026045277101090086
2015-11-02,AMD,0.032485455144488196,1.3398151721869174,0.37229402252053845,0.03147201438540405
2015-11-02,AMZN,0.003906722130497808,0.5598531428845357,0.288337051453018,-0.013651694044628501
2015-11-02,GOOG,0.01438655203155026,0.13922213938652664,0.3023135512608494,-0.007345269033101273
2015-11-02,META,0.013055627446323825,-0.20531194742804687,0.21471011586362249,-0.015892813336962006
2015-11-02,MSFT,0.011333201439574836,0.37510977108723736,0.3730369802652741,0.008145279779325124
2015-11-02,NFLX,-0.006851244279262758,-2.1381307252388284,0.49684756171519673,0.01051972101958866
2015-11-02,NVDA,0.011535816462164172,0.2046425025446467,0.25173022988145094,-0.01585176647973506
2015-11-03,AAPL,0.011406412462644955,-0.36052942388023956,0.27043805104438506,-0.008690760217825978
2015-11-03,AMD,0.040273899137939995,1.728803808338351,0.38722302544310366,-0.039747355623981885
2015-11-03,AMZN,-0.004849809292092555,0.5698520456949103,0.2835590625649321,0.02067465096717993
2015-11-03,GOOG,0.001456615719434673,-0.09067323765611791,0.3027103439191582,0.004176747142168445
2015-11-03,META,-0.0070909285844260594,-0.29566987985299387,0.20924867858496224,0.009141870351761082
2015-11-03,MSFT,0.01694716453186107,0.4951853666910564,0.37445092006502756,0.0005770595047246627
2015-11-03,NFLX,0.019321605772124606,-1.772027365971006,0.49298759632963146,0.03449374407766483
2015-11-03,NVDA,-0.007049881727199114,-0.2749413133639603,0.2545070810912142,-0.02062595620169109
2015-11-04,AAPL,-0.004661487195923186,-0.5357927325873983,0.2703860391414829,-0.010992028090743518
2015-11-04,AMD,-0.03571808260207909,1.148297082493377,0.42038213665836915,-0.006371005218652422
2015-11-04,AMZN,0.02470392398908272,1.1462991018796176,0.2900254536604217,0.016304654000636958
