Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,NVDA,AMD
2015-12-30,24.2208,49.341,34.4535,116.71,105.5692,38.288,0.8146,2.98
2015-12-31,23.7559,48.6137,33.7945,114.38,104.0188,37.6861,0.8041,2.87
2016-01-04,23.7762,48.0179,31.8495,109.96,101.5937,36.8399,0.7897,2.77
2016-01-05,23.1804,48.2369,31.6895,107.66,102.1006,36.8766,0.8024,2.75
2016-01-06,22.7267,47.3607,31.6325,117.68,102.3391,36.9283,0.7692,2.505
2016-01-07,21.7676,45.7134,30.397,114.56,97.3201,36.0726,0.7387,2.275
2016-01-08,21.8827,45.8536,30.3525,111.39,96.7337,35.4807,0.7228,2.14
2016-01-11,22.237,45.8273,30.887,114.97,96.9126,35.5582,0.7241,2.34
2016-01-12,22.5597,46.2479,30.8945,116.58,98.7612,36.0568,0.7363,2.39
2016-01-13,21.9797,45.2489,29.0905,106.56,94.8553,34.7899,0.7138,2.25
2016-01-14,22.4604,46.537,29.65,107.06,97.7673,35.4931,0.6994,2.21
2016-01-15,21.921,44.6794,28.509,104.04,94.3881,34.4865,0.6614,2.03
2016-01-19,21.815,44.3026,28.724,107.89,94.6764,34.851,0.6667,1.95
2016-01-20,21.8443,44.5041,28.5885,107.74,93.7719,34.6851,0.6704,1.8
2016-01-21,21.7337,44.2325,28.751,102.35,93.5831,35.0894,0.6782,2.09
2016-01-22,22.8892,45.8185,29.819,100.72,97.3399,36.016,0.694,2.02
2016-01-25,22.4424,45.3804,29.8265,99.12,96.4156,35.3416,0.6933,2.12
2016-01-26,22.5665,45.7134,30.0625,97.83,96.7436,35.4097,0.7001,2.07
2016-01-27,21.0837,44.8809,29.1675,91.15,93.8713,34.7616,0.6919,2.13
2016-01-28,21.2349,45.617,31.7675,94.41,108.4415,36.2996,0.6843,2.08
2016-01-29,21.9684,48.272,29.35,91.84,111.5225,36.895,0.7145,2.2
2016-02-01,21.763,47.939,28.7405,94.09,114.3849,37.3444,0.7148,2.14
2016-02-02,21.323,46.4406,27.605,91.49,113.9078,37.9726,0.6845,1.99
2016-02-03,21.745,45.7046,26.5535,90.74,111.9996,36.1005,0.688,2.07
2016-02-04,21.9197,45.5644,26.813,89.71,109.813,35.1599,0.6882,2.09
2016-02-05,21.3343,43.9521,25.1065,82.79,103.4324,33.9462,0.6448,1.98
2016-02-08,21.5589,43.2949,24.405,83.32,99.1388,33.905,0.6153,1.93
2016-02-09,21.5544,43.181,24.1035,86.13,98.9301,33.6751,0.6218,1.9
2016-02-10,21.391,43.5578,24.524,88.45,100.3812,33.9735,0.6204,1.84
2016-02-11,21.2617,43.5403,25.191,86.35,101.2856,33.9234,0.6172,1.86
2016-02-12,21.3275,44.25,25.354,87.4,101.385,33.8881,0.6277,1.83
2016-02-16,21.9288,45.0884,26.055,89.05,100.9874,34.3152,0.6584,1.83
2016-02-17,22.2646,46.2622,26.705,94.76,104.5555,35.1793,0.6748,1.9
2016-02-18,21.8426,46.0592,26.25,90.49,102.8361,34.6305,0.7328,1.91
2016-02-19,21.7926,45.7327,26.745,89.23,103.9293,34.8073,0.7426,1.91
2016-02-22,21.9832,46.4652,27.975,91.93,106.5034,35.0829,0.7689,2.01
2016-02-23,21.4863,45.1679,27.647,89.12,104.8139,34.556,0.7709,1.97
2016-02-24,21.8063,45.3267,27.702,91.61,106.2252,34.7403,0.7763,2.02
2016-02-25,21.956,45.9798,27.7575,94.53,107.4079,35.0477,0.778,2.03
2016-02-26,21.9901,45.2738,27.7615,94.79,107.2588,35.0139,0.7728,2.07
2016-02-29,21.9401,44.9031,27.626,93.41,106.2649,34.6514,0.7678,2.14
2016-03-01,22.8115,46.4034,28.952,98.3,109.1471,35.6962,0.8019,2.18
2016-03-02,22.8614,46.7299,29.0105,97.61,109.2763,35.6982,0.8065,2.32
2016-03-03,23.0316,46.2004,28.8745,97.93,108.9086,35.3789,0.7994,2.46
2016-03-04,23.3742,45.918,28.757,101.58,107.7259,35.3029,0.797,2.37
2016-03-07,23.1155,45.0355,28.14,95.49,105.0822,34.5218,0.7918,2.47
2016-03-08,22.9249,45.5827,28.013,96.23,105.281,34.4627,0.7774,2.3
2016-03-09,22.9454,46.6329,27.9735,98.0,106.8513,35.0223,0.7769,2.26
2016-03-10,22.9567,45.9357,27.9465,97.36,106.6625,35.3988,0.7757,2.26
2016-03-11,23.204,46.8358,28.4805,97.66,108.7397,36.094,0.7889,2.52
2016-03-14,23.263,46.9241,28.6685,98.13,109.2167,36.2763,0.7908,2.72
2016-03-15,23.7305,47.2948,28.851,97.86,109.9919,36.169,0.7869,2.49
